Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2024.08.21 20:45:50;Sell;0.02;USDJPY;144.983;0.02;2024.08.21 22:30:00;144.922;-0.14;;0.84
2024.08.21 17:00:16;Buy;0.01;USDJPY;146.663;0.01;2024.08.21 21:00:04;144.867;-0.08;;-12.4
2024.08.20 02:03:52;Buy;0.01;USDJPY;146.714;0.01;2024.08.21 06:00:00;145.393;-0.08;0.09;-9.09
2024.08.20 05:56:02;Buy;0.01;GBPJPY;190.73;0.01;2024.08.21 00:27:16;189.053;-0.08;0.11;-11.55
2024.08.20 05:42:49;Buy;0.01;USDJPY;146.858;0.01;2024.08.20 23:24:44;145.217;-0.08;;-11.3
2024.08.20 09:30:23;Buy;0.01;XAUUSD;2505.6;0.01;2024.08.20 19:02:25;2505.53;-0.08;;-0.07
2024.08.19 16:15:12;Buy;0.04;EURJPY;161.685;0.04;2024.08.20 18:51:08;161.703;-0.28;0.22;0.49
2024.08.20 04:06:05;Buy;0.01;XAUUSD;2507.92;0.01;2024.08.20 18:17:04;2507.97;-0.08;;0.05
2024.08.19 19:41:10;Buy;0.01;XAUUSD;2507.52;0.01;2024.08.20 16:00:01;2526.45;-0.08;-0.33;18.93
2024.08.20 11:40:02;Sell;0.02;USDJPY;146.255;0.02;2024.08.20 13:30:01;146.364;-0.14;;-1.49
2024.08.19 08:21:49;Sell;0.01;USDJPY;145.857;0.01;2024.08.20 08:00:01;146.938;-0.08;-0.18;-7.36
2024.08.19 06:07:49;Sell;0.02;EURJPY;162.354;0.02;2024.08.19 20:52:38;162.334;-0.14;;0.27
2024.08.19 09:06:46;Sell;0.01;GBPJPY;188.337;0.01;2024.08.19 17:10:06;190.014;-0.08;;-11.45
2024.08.19 06:07:56;Sell;0.03;USDJPY;147.118;0.03;2024.08.19 08:00:02;146.213;-0.22;;18.57
2024.08.19 02:20:01;Buy;0.03;EURJPY;163.104;0.03;2024.08.19 06:07:56;162.303;-0.22;;-16.33
2024.08.14 23:16:02;Buy;0.01;USDJPY;147.433;0.01;2024.08.19 02:00:02;147.861;-0.08;0.41;2.89
2024.08.15 15:30:03;Buy;0.01;XAUJPY;364356;0.01;2024.08.19 01:30:02;370408;-0.08;-0.06;40.92
2024.08.14 10:58:56;Buy;0.01;XAUJPY;364303;0.01;2024.08.16 22:00:03;369661;-0.08;-0.11;36.28
2024.08.14 15:30:35;Buy;0.01;USDJPY;147.109;0.01;2024.08.16 18:30:03;148.181;-0.08;0.33;7.23
2024.08.16 13:21:02;Buy;0.01;XAUUSD;2467.45;0.01;2024.08.16 17:23:44;2478.04;-0.08;;10.59
2024.08.16 10:48:38;Buy;0.01;XAUUSD;2458.43;0.01;2024.08.16 16:41:44;2494.62;-0.08;;36.19
2024.08.15 15:30:01;Buy;0.02;USDJPY;147.658;0.02;2024.08.16 15:31:17;147.665;-0.14;0.17;0.09
2024.08.15 15:30:01;Buy;0.01;USDJPY;147.661;0.01;2024.08.16 15:31:17;147.667;-0.08;0.08;0.04
2024.08.15 23:30:38;Buy;0.03;EURJPY;163.732;0.03;2024.08.16 14:06:22;162.935;-0.22;0.16;-16.13
2024.08.15 17:47:08;Buy;0.01;XAUUSD;2458.52;0.01;2024.08.16 14:00:03;2464.81;-0.08;-0.33;6.29
2024.08.14 15:30:51;Buy;0.03;EURJPY;162.337;0.03;2024.08.16 13:00:03;163.394;-0.22;0.65;21.33
2024.08.15 04:30:46;Buy;0.02;USDJPY;147.442;0.02;2024.08.16 09:00:03;148.92;-0.14;0.17;19.85
2024.08.15 04:30:49;Buy;0.02;USDJPY;147.449;0.02;2024.08.16 08:00:03;148.862;-0.14;0.17;18.98
